1,Alarms/Immobilisers/Tracking Devices
2,Wheels - Alloy
2,Wheels - Alloy
2,Wheels - Alloy
2,Wheels - Alloy
2,Wheels - Alloy
2,Wheels - Alloy
3,Blueprinting
4,Bonnet Bulge
5,Bored-out Engine
5,Bored-out Engine
6,Bull Bars
7,Car Phones
7,Car Phones
8,Chipping - Engine Management System Changes
9,Dashboard Changes
10,Decals/Stickers
11,Driving Lights
12,Dual Controls
13,Exhaust System Changes
13,Exhaust System Changes
14,Flared Wheelarches
15,Flared Wings
16,Fog Lamps
17,Front Spoiler/Airdam
18,Hand Controls
19,High Level Brake Light
19,High Level Brake Light
20,Larger Speakers
21,Locking Wheel Nuts
22,Miscellaneous Engine Alterations
22,Miscellaneous Engine Alterations
22,Miscellaneous Engine Alterations
23,Murals
23,Murals
23,Murals
23,Murals
24,Non-standard Engine
25,Non-standard Re-spray
26,Rally Lights
27,Rear Roof Spoiler
28,Rear Spoiler/Aerofoil
29,Rear Valance
30,Seats - Replacement
31,Side Skirts/Sills
32,Sports Steering Wheel
33,Spot Lights
34,Standard Engine Replacement
35,Stripes
36,Sunroof
37,Supercharging
38,Suspension Changes
39,Towbar
40,Transmission Changes
41,Turbocharging
41,Turbocharging
42,Upholstery Changes
43,Uprated Brakes
44,Uprated Stereo Systems
44,Uprated Stereo Systems
45,Wheel Trims
46,Wider Tyres
47,Wider Wheels
48,Badges Indicating Increased Performance
49,Body Kit
50,Bar Ends
51,Chain Guards
52,Crash Bars
53,Engine Casing Guards
54,Fairings
54,Fairings
54,Fairings
54,Fairings
54,Fairings
54,Fairings
55,Fork Braces
56,Frame Modified
57,Gearing Change
58,Grab Rails
59,Handlebar Position Altered
59,Handlebar Position Altered
60,Luggage System/panniers
60,Luggage System/panniers
61,Nitrous Oxide Kit Fitted
62,Paint Work - Non Standard
62,Paint Work - Non Standard
62,Paint Work - Non Standard
62,Paint Work - Non Standard
63,Radiator Bars
64,Slick Tyres
64,Slick Tyres
65,Steering Change
66,Tank Pads
67,Trial Tyres
68,Tail Lift
69,Additional Seating
69,Additional Seating
70,Additional Windows
71,Altered Pedal Configuration
72,Hoist
73,Infra Red Controls
74,Seats - Removal
74,Seats - Removal
75,Tinted Windows
76,Wheelchair Clamps/Straps
77,Wheelchair Lift/Ramp/Winch
77,Wheelchair Lift/Ramp/Winch
78,Air Conditioning
79,LPG Conversion
80,Magnetic/Removable Signs
81,Painted Signs (Under 25% of side and door)
82,Painted Signs (Greater than 25% of side and door)
83,Air Filter
84,After-Market Exhaust System approved for road use
85,Belly Pan
86,Braided Brake Hoses
87,Crash Bungs
87,Crash Bungs
87,Crash Bungs
88,Dynojet Kit
89,End Can
90,Heated Hand Grips
91,Hugger
91,Hugger
92,Scottoiler
93,Steering Damper
94,Sissy Bar
95,Carburettor Changed
96,Twin Carb
97,De-Locked
98,Engine Tuned
99,Light Cluster changed
100,Neon Lights
101,Side Steps
102,Wheel Spacers
103,Parking Sensors
104,Dump Valve
105,Turbo Timer
106,EcoTek Valve
107,Induction Kit (Non-Turbo)
108,Induction Kit (Turbo Vehicle)
109,Power Boost Valve
110,Intercooler - Bigger
111,Uprated Actuator
112,Chromed Engine
112,Chromed Engine
113,Uprated Clutch
114,Throttle Bodies Conversion (Non-Turbo)
115,Throttle Bodies Conversion (Turbo)
116,Uprated Cam
117,Quick Shift Gear Lever
118,Stage 1 Head
119,Stage 2 Head
120,Stage 3 Head
121,Stage 4 Head
122,Bleed / Relief Valve
123,Manifold
124,Strengthening Brackets
125,Carbon Fibre Bonnet
125,Carbon Fibre Bonnet
126,Changing to a Convertible
127,Uprated Headlight Bulbs
127,Uprated Headlight Bulbs
128,De-Handled
129,Seatbelt Harnesses
130,Struct Brace
131,Roll Cage
132,Alphadot
133,Datatag
134,Dress Up Kit
135,Rear Sets
136,Screen Changes
137,Seat Cowl
138,Swing Arm Changes
139,De-Restrictor Kits
139,De-Restrictor Kits
140,Forks - Extended
141,Lambo Style Door Conversion
142,Uprated Anti-Roll Bars
143,Rocksliders
144,Water Injection System
145,Debadged
146,Uprated Fuel Pump
147,Turbo Boost Controller
148,Suspension - Airbag/Hydraulic
149,Suspension - Uprated/Lowered/Stiffened Springs & Dampers
149,Suspension - Uprated/Lowered/Stiffened Springs & Dampers
149,Suspension - Uprated/Lowered/Stiffened Springs & Dampers
149,Suspension - Uprated/Lowered/Stiffened Springs & Dampers
149,Suspension - Uprated/Lowered/Stiffened Springs & Dampers
150,Suspension - Other
150,Suspension - Other
151,Catalytic Converter Removed
152,Intercooler - Front Mount
153,Push Button Start
154,Fibreglass Panels
155,Exhaust System Changes - Cosmetic
155,Exhaust System Changes - Cosmetic
156,Exhaust System Changes - Cosmetic And Performance
157,Exhaust System Changes - Performance
157,Exhaust System Changes - Performance
157,Exhaust System Changes - Performance
157,Exhaust System Changes - Performance
158,Internal Racking
159,External Racking
159,External Racking
160,Internal Shelving
161,Water Tank(s)
162,Satellite Navigation Equipment
163,Biodegradable Fuel
164,Refrigerated
165,Roof Rack
166,Emergency Services Blue Light
167,Adapted For Disability
168,High Roof
169,Cabriolet Conversion
170,Spoilers - Multiple
171,Body Coloured Bumpers
172,Chassis Changes
173,Snorkel
174,Upgraded External Mirrors
174,Upgraded External Mirrors
175,Upgraded Front Grille
176,Graphics-Customised Promotional/Advertising
177,Graphics/Decals - Decoration/Non-Advertising
178,Seats - Custom
178,Seats - Custom
178,Seats - Custom
179,Engraving - Custom
180,Paint Work - Race Replica
181,Lowered Seat Rails
182,Molassi/Polini Kit
183,Restrictor
183,Restrictor
183,Restrictor
184,Road Conversion
185,Streetfighter Kit
186,TS/TS1 Kit
187,Wheels - Magnesium
188,Wheels - Carbon
188,Wheels - Carbon
189,Power Commander Kit
190,Petrol Tank Changes
191,Uprated Belt/Variater Kit
192,Forks - Other
192,Forks - Other
192,Forks - Other
193,Foot Rests
194,DynoJet Stage 1 Kit
195,DynoJet Stage 2 Kit
196,DynoJet Stage 3 Plus Kit
197,Engine Chip 00-10% inc BHP
197,Engine Chip 00-10% inc BHP
197,Engine Chip 00-10% inc BHP
197,Engine Chip 00-10% inc BHP
198,Engine Chip 11-25% inc BHP
198,Engine Chip 11-25% inc BHP
199,Engine Chip 26%+ inc BHP
199,Engine Chip 26%+ inc BHP
200,Interior Changes
201,Wheels - Wire
202,Indicators - Uprated
202,Indicators - Uprated
203,Indicators - Added
204,Roll Bars
205,Winch
206,Electronic Ignition
207,Awning - Added
208,Awning -  Upgraded
209,Unleaded Fuel Conversion
210,Bluetooth Kit
211,Additional Airbags Fitted
212,Bumpers - Alloy
213,Bumpers - Chrome
213,Bumpers - Chrome
214,Bumpers - Steel
215,Sump Guard
216,Transmission Guard
217,Cruise Control
218,Uprated Fuel Injection
219,Right Hand Drive Conversion
220,Pop Up Roof - Added
221,Pop Up Roof - Upgrade
222,Climate Control
223,Uprated Head Lamps
223,Uprated Head Lamps
223,Uprated Head Lamps
224,Overdrive
225,Cooling Fan - Added
226,Cooling Fan - Upgrade
227,Oil Pressure Gauge - Added
228,Oil Pressure Gauge - Upgrade
229,Wipers - Added
230,Wipers - Upgrade
231,Vinyl Wrap Bodywork
232,Camper Van Conversion
233,Door Poppers
234,Galvanised Chassis
235,Telematics Device
999,Other
999,Other
999,Other
999,Other
999,Other
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
